#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=10000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.37 aq:21.56 tex:284639 mv:112200 misc:6393 imb:8160 pmb:0 smb:0 d:- ref:;
in:33 out:33 type:B dur:2 cpbdur:2 q:25.30 aq:22.80 tex:3973056 mv:66469 misc:723 imb:598 pmb:7533 smb:29 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:25.14 aq:23.73 tex:3366855 mv:59293 misc:964 imb:496 pmb:7559 smb:105 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:25.46 aq:24.04 tex:3204478 mv:58790 misc:1084 imb:565 pmb:7479 smb:116 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:26.40 aq:21.63 tex:5290192 mv:49430 misc:570 imb:1605 pmb:6555 smb:0 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:26.01 aq:23.54 tex:3549452 mv:65285 misc:759 imb:632 pmb:7484 smb:44 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:25.81 aq:24.40 tex:3015513 mv:60191 misc:1216 imb:586 pmb:7429 smb:145 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:26.20 aq:24.78 tex:2790351 mv:57670 misc:1395 imb:581 pmb:7382 smb:197 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:27.66 aq:22.89 tex:4492141 mv:50034 misc:593 imb:1634 pmb:6508 smb:18 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:27.03 aq:24.57 tex:2954711 mv:62997 misc:1092 imb:612 pmb:7434 smb:114 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:26.71 aq:25.30 tex:2528258 mv:59730 misc:1484 imb:568 pmb:7375 smb:217 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:27.34 aq:25.89 tex:2210516 mv:53497 misc:1987 imb:558 pmb:7197 smb:405 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:32.79 aq:27.95 tex:1778942 mv:47329 misc:1353 imb:1642 pmb:6109 smb:409 d:- ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:30.22 aq:27.61 tex:1492428 mv:56087 misc:2357 imb:582 pmb:7014 smb:564 d:- ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:28.94 aq:27.37 tex:1561878 mv:56597 misc:2637 imb:561 pmb:6973 smb:626 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:31.51 aq:29.61 tex:678549 mv:41291 misc:4792 imb:539 pmb:5825 smb:1796 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:38.57 aq:33.37 tex:259249 mv:34348 misc:5307 imb:963 pmb:4197 smb:3000 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:35.68 aq:32.60 tex:169679 mv:32939 misc:6710 imb:353 pmb:4169 smb:3638 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:34.24 aq:31.92 tex:192288 mv:31711 misc:6641 imb:299 pmb:4113 smb:3748 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:37.12 aq:35.20 tex:29903 mv:14621 misc:6100 imb:86 pmb:2047 smb:6027 d:- ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:41.75 aq:36.46 tex:102914 mv:23330 misc:5604 imb:342 pmb:2726 smb:5092 d:- ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:40.16 aq:37.57 tex:22255 mv:13211 misc:4654 imb:35 pmb:1424 smb:6701 d:- ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:39.36 aq:37.21 tex:10301 mv:9140 misc:4359 imb:34 pmb:1133 smb:6993 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:40.96 aq:39.22 tex:5027 mv:6705 misc:3508 imb:7 pmb:911 smb:7242 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:43.23 aq:37.63 tex:79670 mv:22337 misc:5377 imb:290 pmb:2510 smb:5360 d:- ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:42.49 aq:39.39 tex:10908 mv:10333 misc:3783 imb:20 pmb:1090 smb:7050 d:- ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:42.12 aq:41.58 tex:2457 mv:4330 misc:2381 imb:5 pmb:496 smb:7659 d:- ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:42.86 aq:41.88 tex:1610 mv:3602 misc:2204 imb:6 pmb:430 smb:7724 d:- ref:0 ;
in:63 out:60 type:P dur:2 cpbdur:2 q:43.97 aq:38.14 tex:71925 mv:22104 misc:5363 imb:327 pmb:2460 smb:5373 d:- ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:43.60 aq:41.03 tex:7470 mv:9902 misc:3828 imb:24 pmb:1038 smb:7098 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:43.42 aq:42.04 tex:1366 mv:3068 misc:1942 imb:1 pmb:362 smb:7797 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:43.79 aq:43.96 tex:1146 mv:2402 misc:1692 imb:2 pmb:304 smb:7854 d:- ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:43.88 aq:38.28 tex:83958 mv:23753 misc:5625 imb:384 pmb:2637 smb:5139 d:- ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:43.93 aq:41.85 tex:7652 mv:9604 misc:3296 imb:11 pmb:913 smb:7236 d:- ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:43.95 aq:43.45 tex:1359 mv:2186 misc:1511 imb:5 pmb:258 smb:7897 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:43.91 aq:44.82 tex:1391 mv:2381 misc:1732 imb:3 pmb:289 smb:7868 d:- ref:0 ;
in:71 out:68 type:P dur:2 cpbdur:2 q:43.42 aq:37.75 tex:95658 mv:25549 misc:5857 imb:482 pmb:2835 smb:4843 d:- ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:43.65 aq:41.44 tex:9057 mv:10434 misc:3933 imb:21 pmb:1112 smb:7027 d:- ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:43.77 aq:41.59 tex:1051 mv:1862 misc:1471 imb:5 pmb:217 smb:7938 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:43.54 aq:42.53 tex:1418 mv:2478 misc:1816 imb:4 pmb:308 smb:7848 d:- ref:0 ;
