#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=33505 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:18.90 aq:11.11 tex:1076845 mv:161380 misc:6287 imb:8160 pmb:0 smb:0 d:- ref:;
in:33 out:33 type:B dur:2 cpbdur:2 q:14.06 aq:11.59 tex:11486311 mv:78886 misc:1059 imb:639 pmb:7521 smb:0 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:13.86 aq:12.46 tex:10745115 mv:71587 misc:1018 imb:560 pmb:7600 smb:0 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:14.26 aq:12.86 tex:10469606 mv:71594 misc:968 imb:608 pmb:7552 smb:0 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:15.29 aq:10.53 tex:13020909 mv:49436 misc:983 imb:1767 pmb:6393 smb:0 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:14.88 aq:12.44 tex:10870742 mv:80455 misc:1027 imb:614 pmb:7546 smb:0 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:14.67 aq:13.29 tex:10174519 mv:72209 misc:1016 imb:598 pmb:7562 smb:0 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:15.08 aq:13.73 tex:9851205 mv:71019 misc:912 imb:594 pmb:7566 smb:0 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:16.72 aq:11.97 tex:11960584 mv:50363 misc:1005 imb:1740 pmb:6420 smb:0 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:16.01 aq:13.59 tex:10039647 mv:79653 misc:972 imb:591 pmb:7569 smb:0 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:15.65 aq:14.31 tex:9458467 mv:73138 misc:899 imb:569 pmb:7591 smb:0 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:16.37 aq:15.01 tex:8939056 mv:70138 misc:918 imb:564 pmb:7596 smb:0 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:20.95 aq:16.18 tex:8947481 mv:49624 misc:919 imb:1832 pmb:6328 smb:0 d:- ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:18.84 aq:16.36 tex:8089033 mv:77702 misc:777 imb:615 pmb:7545 smb:0 d:- ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:17.78 aq:16.40 tex:7968173 mv:71890 misc:825 imb:581 pmb:7579 smb:0 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:19.89 aq:18.52 tex:6546871 mv:65521 misc:584 imb:574 pmb:7586 smb:0 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:25.96 aq:21.16 tex:5633047 mv:49817 misc:560 imb:1825 pmb:6333 smb:2 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:23.45 aq:20.99 tex:5081812 mv:71551 misc:517 imb:630 pmb:7529 smb:1 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:22.20 aq:20.80 tex:5093619 mv:63974 misc:535 imb:590 pmb:7568 smb:2 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:24.70 aq:23.30 tex:3578038 mv:58941 misc:941 imb:544 pmb:7530 smb:86 d:- ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:29.65 aq:24.66 tex:3277191 mv:49262 misc:971 imb:1862 pmb:6195 smb:103 d:- ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:27.81 aq:25.20 tex:2438054 mv:62571 misc:1335 imb:658 pmb:7326 smb:176 d:- ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:26.88 aq:25.34 tex:2291659 mv:58867 misc:1714 imb:612 pmb:7229 smb:319 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:28.73 aq:27.09 tex:1460133 mv:51813 misc:2678 imb:527 pmb:6933 smb:700 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:31.23 aq:26.21 tex:2359206 mv:49821 misc:1213 imb:1587 pmb:6385 smb:188 d:- ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:30.44 aq:27.71 tex:1256260 mv:54753 misc:2755 imb:597 pmb:6845 smb:718 d:- ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:30.05 aq:28.23 tex:1001802 mv:49910 misc:3672 imb:509 pmb:6480 smb:1171 d:- ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:30.84 aq:28.91 tex:761100 mv:42925 misc:4351 imb:494 pmb:6185 smb:1481 d:- ref:0 ;
in:63 out:60 type:P dur:2 cpbdur:2 q:32.56 aq:27.46 tex:1738212 mv:48463 misc:1397 imb:1501 pmb:6327 smb:332 d:- ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:31.90 aq:29.03 tex:779439 mv:49815 misc:4002 imb:533 pmb:6424 smb:1203 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:31.56 aq:29.48 tex:578093 mv:43722 misc:5161 imb:459 pmb:5821 smb:1880 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:32.23 aq:30.12 tex:431045 mv:37510 misc:5741 imb:424 pmb:5375 smb:2361 d:- ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:33.69 aq:28.62 tex:1271402 mv:47858 misc:1852 imb:1322 pmb:6339 smb:499 d:- ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:33.12 aq:30.10 tex:455305 mv:42495 misc:5384 imb:417 pmb:5805 smb:1938 d:- ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:32.84 aq:30.59 tex:321008 mv:36610 misc:6214 imb:381 pmb:4904 smb:2875 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:33.40 aq:31.20 tex:244841 mv:30400 misc:6399 imb:315 pmb:4503 smb:3342 d:- ref:0 ;
in:71 out:68 type:P dur:2 cpbdur:2 q:34.44 aq:29.28 tex:1003992 mv:46725 misc:2283 imb:1118 pmb:6349 smb:693 d:- ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:34.06 aq:31.00 tex:294579 mv:37763 misc:6242 imb:332 pmb:5086 smb:2742 d:- ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:33.87 aq:31.65 tex:186120 mv:30165 misc:6683 imb:268 pmb:4216 smb:3676 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:34.25 aq:32.04 tex:150610 mv:26078 misc:6768 imb:229 pmb:3952 smb:3979 d:- ref:0 ;
in:75 out:72 type:P dur:2 cpbdur:2 q:34.77 aq:29.56 tex:901704 mv:45131 misc:2701 imb:974 pmb:6338 smb:848 d:- ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:34.61 aq:31.42 tex:226482 mv:32873 misc:6621 imb:255 pmb:4721 smb:3184 d:- ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:34.52 aq:32.14 tex:121243 mv:24898 misc:6787 imb:198 pmb:3643 smb:4319 d:- ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:34.69 aq:32.38 tex:110898 mv:23200 misc:6782 imb:157 pmb:3673 smb:4330 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:34.86 aq:29.68 tex:847695 mv:44378 misc:2911 imb:859 pmb:6369 smb:932 d:- ref:0 ;
